time,win,loss,prim_tent,prim_gale,seg_gale

2022-07-17 16:03:44.989894,1,0,1,0,0
2022-07-17 16:05:15.098848,1,0,1,0,0
2022-07-17 16:08:15.296494,1,0,1,0,0
2022-07-17 16:09:45.350303,1,0,1,0,0
2022-07-17 16:16:15.647732,1,0,1,0,0
2022-07-17 16:26:59.318955,1,0,1,0,0
2022-07-17 16:30:29.496997,0,1,0,0,0
2022-07-17 16:32:29.607137,0,1,0,0,0
2022-07-17 16:37:59.786031,1,0,0,0,1
2022-07-17 16:41:30.102587,1,0,0,1,0
2022-07-17 16:43:31.738301,1,0,0,1,0
2022-07-17 16:46:32.991756,0,1,0,0,0
2022-07-17 16:47:30.420463,1,0,1,0,0
2022-07-17 16:58:01.018333,1,0,1,0,0
